"Fmin","Fmin_B","CFI","RMSEA","Size_Of_CR","FC","Number_Of_CR","Location_Of_Misfit","Percent_Missing","Number_of_Missing_Variables","Missing_Mechanism"
0.10618,4.426226,0.976023,0.044748,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.253769,4.710399,0.946136,0.069189,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.422892,5.262731,0.919653,0.08932,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
4.1e-05,4.667476,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.028125,4.746437,0.994086,0.023015,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.120345,4.904645,0.975473,0.047641,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.305167,5.18649,0.941171,0.075874,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
0.580869,5.735179,0.898726,0.104684,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data","  MCAR"
4.8e-05,3.752359,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.024615,3.83977,0.993603,0.021527,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.102879,4.003547,0.974316,0.044047,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.240818,4.289287,0.943868,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.390605,4.841901,0.919338,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
5.8e-05,3.868906,0.999999,0.000295,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.025227,3.956183,0.993637,0.021794,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.106122,4.120423,0.974257,0.044736,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.253474,4.403341,0.942447,0.069149,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.422074,4.955982,0.914845,0.089234,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
4.9e-05,4.34592,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.028016,4.425628,0.993681,0.02297,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.119776,4.583495,0.973879,0.047528,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.3035,4.865818,0.937636,0.075666,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
0.574785,5.415035,0.893863,0.104134,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data","  MCAR"
4.7e-05,4.258323,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.024611,4.345509,0.994349,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.102875,4.509286,0.977197,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.240814,4.795026,0.949789,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.390602,5.347728,0.926968,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
5.2e-05,4.38073,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.025247,4.466813,0.99436,0.021803,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.106213,4.629738,0.97707,0.044755,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.253956,4.914797,0.948338,0.069214,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.423395,5.466945,0.922562,0.089373,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
4.2e-05,4.881164,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.028192,4.961025,0.994328,0.023042,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.120714,5.119127,0.976429,0.047714,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.306272,5.400326,0.943296,0.076011,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
0.585119,5.94932,0.901657,0.105067,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data","  MCAR"
5.3e-05,3.888511,1,5.7e-05,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.024614,3.974913,0.993821,0.021527,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.102879,4.13869,0.975155,0.044047,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.240818,4.42443,0.945582,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.390604,4.977205,0.921531,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
5.2e-05,4.003511,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.025228,4.089888,0.993844,0.021795,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.106077,4.253082,0.975071,0.044726,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.25331,4.537409,0.944184,0.069126,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.421687,5.090623,0.917173,0.089193,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
4e-05,4.4732,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.027977,4.552774,0.993866,0.022954,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.119642,4.712094,0.974621,0.047502,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.302893,4.993823,0.939356,0.075591,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
0.572764,5.543765,0.896692,0.103951,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data","  MCAR"
5e-05,3.331889,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.024616,3.418218,0.992814,0.021528,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.10288,3.581995,0.971293,0.044047,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.240819,3.867735,0.937749,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.390608,4.420139,0.911641,0.085843,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
5.1e-05,3.437996,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.025165,3.525443,0.992877,0.021767,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.105827,3.687584,0.971316,0.044674,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.252455,3.972833,0.936467,0.069009,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.419186,4.525243,0.907378,0.088928,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
4.5e-05,3.862787,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.027614,3.94428,0.993012,0.022804,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.118061,4.102433,0.971234,0.047187,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.297461,4.385045,0.932176,0.07491,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
0.553758,4.935304,0.887806,0.102212,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data","  MCAR"
4.7e-05,4.258323,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.024611,4.345509,0.994349,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.102875,4.509286,0.977197,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.240814,4.795026,0.949789,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.390602,5.347728,0.926968,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
5.2e-05,4.38073,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.025247,4.466813,0.99436,0.021803,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.106213,4.629738,0.97707,0.044755,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.253956,4.914797,0.948338,0.069214,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.423395,5.466945,0.922562,0.089373,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
4.2e-05,4.881164,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.028192,4.961025,0.994328,0.023042,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.120714,5.119127,0.976429,0.047714,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.306272,5.400326,0.943296,0.076011,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
0.585119,5.94932,0.901657,0.105067,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%"," Two Variables with Missing Data"," Weak MAR"
4.3e-05,3.829903,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.024611,3.915279,0.993728,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.102875,4.079056,0.974792,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.240814,4.364796,0.944839,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.390604,4.919196,0.920606,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
5e-05,3.949313,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.025233,4.03867,0.993765,0.021797,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.106121,4.199935,0.974745,0.044736,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.253657,4.484428,0.943447,0.069174,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.422502,5.038259,0.916151,0.089279,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
3.7e-05,4.434361,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.028098,4.512857,0.993785,0.023003,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.120075,4.671802,0.974309,0.047587,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.304191,4.95486,0.938618,0.075753,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
0.577795,5.503471,0.895021,0.104407,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%"," Two Variables with Missing Data"," Weak MAR"
4.5e-05,3.71465,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.024609,3.799462,0.993537,0.021525,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.102873,3.963239,0.974056,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.240812,4.248979,0.943336,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.390601,4.800537,0.918644,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
4.8e-05,3.830363,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.025231,3.919105,0.993576,0.021796,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.106091,4.082432,0.974025,0.044729,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.253575,4.364739,0.941915,0.069162,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.422188,4.916217,0.914133,0.089246,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
4.6e-05,4.309083,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.02803,4.385583,0.993621,0.022975,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.119764,4.547443,0.973675,0.047526,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.303307,4.827237,0.937178,0.075642,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
0.574792,5.37665,0.893103,0.104135,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","50%"," Two Variables with Missing Data"," Weak MAR"
4.7e-05,4.258323,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.024611,4.345509,0.994349,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.102875,4.509286,0.977197,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.240814,4.795026,0.949789,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.390602,5.347728,0.926968,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
5.2e-05,4.38073,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.025247,4.466813,0.99436,0.021803,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.106213,4.629738,0.97707,0.044755,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.253956,4.914797,0.948338,0.069214,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.423395,5.466945,0.922562,0.089373,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
4.2e-05,4.881164,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.028192,4.961025,0.994328,0.023042,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.120714,5.119127,0.976429,0.047714,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.306272,5.400326,0.943296,0.076011,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
0.585119,5.94932,0.901657,0.105067,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","0%","Four Variables with Missing Data"," Weak MAR"
4e-05,3.46082,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.024599,3.547207,0.99308,0.021521,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.102864,3.710984,0.972295,0.044043,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.240803,3.996724,0.939762,0.067398,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.390607,4.552143,0.914203,0.085843,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
4.8e-05,3.575179,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.02521,3.66482,0.993136,0.021786,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.105901,3.82471,0.972325,0.044689,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.253023,4.111725,0.938475,0.069087,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.420447,4.664744,0.909877,0.089062,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
3.7e-05,4.022667,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.027868,4.102887,0.99322,0.022909,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.118907,4.26238,0.972115,0.047355,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.300166,4.545766,0.933979,0.07525,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
0.563125,5.094087,0.889464,0.103073,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor (DF)","20%","Four Variables with Missing Data"," Weak MAR"
5e-05,3.255553,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.02461,3.340233,0.992648,0.021526,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.102875,3.50401,0.970655,0.044046,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.240814,3.78975,0.936469,0.067399,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.390599,4.339202,0.909994,0.085842,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
4.7e-05,3.36227,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.025159,3.451292,0.992726,0.021765,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.105869,3.61143,0.970699,0.044683,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.252446,3.895426,0.935207,0.069008,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
0.419323,4.447598,0.90573,0.088942,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor (DF)","50%","Four Variables with Missing Data"," Weak MAR"
